@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1995, 81, 30000000, 191796000, 8.3, 685838, 23, 17
1997, 104, 10000000, 12514100, 7.4, 3050, 2, 7
1991, 86, 15000000, 35054900, 6.8, 45, 1, 5
1995, 109, 50000000, 81022300, 5.1, 36443, 2, 11
1959, 104, 50000000, 61112900, 6.5, 3379, 1, 1
1997, 95, 3000000, 3559990, 5.3, 8345, 0, 1
1936, 106, 500000, 98017, 6, 23, 0, 1
1993, 101, 14600000, 70907000, 8, 478065, 5, 11
1994, 99, 10500000, 125169, 6.4, 896, 0, 1
1996, 135, 45000000, 53854600, 6.3, 39715, 0, 3
1981, 98, 20000000, 8500000, 5.4, 2220, 1, 4
1980, 124, 18000000, 290159000, 8.8, 919462, 21, 19
1977, 97, 500000, 17000000, 5.9, 3563, 0, 3
1986, 119, 13800000, 52294000, 7, 61971, 1, 10
1994, 98, 20000000, 13383700, 7.5, 31015, 20, 23
1996, 96, 3500000, 9449220, 6, 14589, 0, 3
1996, 96, 200000, 4505920, 7.3, 66983, 3, 3
1968, 149, 12000000, 56715400, 8.3, 468499, 13, 10
1985, 94, 30000000, 1865770, 6.5, 49284, 1, 10
1992, 81, 13000000, 11501100, 7.6, 138054, 10, 5
1981, 116, 5000000, 42365600, 7, 48618, 1, 8
1998, 104, 1000000, 3386700, 6.7, 4293, 3, 2
1989, 89, 8000000, 22168400, 5.1, 32103, 3, 2
1979, 100, 60000000, 75764100, 6.6, 32, 0, 1
1988, 185, 60000000, 121469000, 6.9, 3503, 1, 1
1978, 102, 20000000, 5132660, 6.9, 174, 0, 1
1982, 116, 22000000, 177200000, 7.4, 82148, 24, 30
1937, 110, 38000000, 50668900, 7.3, 1921, 0, 2
1997, 96, 20000000, 10569100, 7.4, 37438, 2, 4
1989, 104, 55000000, 63408600, 6.3, 80447, 0, 3
1988, 94, 4000000, 13008900, 7.3, 82044, 0, 3
1939, 238, 3977000, 198655000, 8.2, 233006, 10, 9
1985, 96, 44000000, 150415000, 6.4, 125481, 5, 4
1991, 140, 38000000, 35183800, 7.2, 72038, 0, 3
1991, 97, 23000, 1227510, 7.1, 16229, 1, 3
1981, 115, 18000000, 242374000, 8.5, 716082, 30, 23
1983, 133, 12000000, 30400000, 6.6, 10113, 5, 14
1996, 86, 1000000, 1277260, 6.8, 2730, 0, 7
1997, 97, 25000, 2856620, 7.3, 11948, 14, 12
1994, 92, 230000, 3151130, 7.8, 189633, 5, 10
1983, 90, 16000000, 39825800, 7.1, 575, 4, 1
1997, 127, 35000000, 41955000, 7.8, 237562, 2, 14
1988, 94, 4000000, 10097100, 7.4, 64, 1, 3
1999, 97, 18000000, 27142000, 2.6, 20971, 1, 4
1957, 92, 55000000, 53574100, 7.6, 15236, 1, 2
1987, 84, 3600000, 5923040, 7.8, 122196, 0, 5
1984, 97, 16000000, 37300100, 6.6, 46, 0, 1
1980, 88, 3500000, 83400000, 7.8, 171910, 2, 6
1997, 108, 15000000, 1294640, 7.6, 48430, 4, 6
1947, 99, 40000000, 14942400, 7.5, 5632, 0, 2
1996, 84, 4000000, 2892580, 7.6, 23485, 2, 3
1993, 104, 42000000, 20915500, 4, 40285, 0, 2
1994, 83, 30000000, 51109400, 6.5, 81633, 0, 3
1927, 66, 6500000, 4693920, 7.1, 3476, 0, 1
1984, 126, 8000000, 90800000, 7.2, 139262, 2, 2
1997, 86, 10000000, 15447, 3.5, 3047, 6, 8
1961, 152, 6000000, 43650000, 7.6, 77702, 18, 11
1986, 137, 18500000, 85200000, 8.4, 534253, 18, 22
1994, 103, 2000000, 5132220, 7.2, 15232, 15, 10
1997, 138, 35000000, 64605000, 8.3, 444665, 85, 78
1996, 124, 60000000, 51045800, 6.1, 11901, 3, 2
1997, 113, 250000, 12006500, 7.3, 119105, 5, 15
1998, 110, 1500000, 2365930, 7.5, 38927, 6, 11
1963, 110, 5000000, 65069100, 7.4, 240, 1, 4
1988, 102, 63000000, 53715600, 5.7, 98670, 2, 5
1971, 120, 7200000, 43800000, 6.7, 78830, 2, 3
1997, 108, 116000000, 67155700, 5.9, 66554, 0, 4
1975, 115, 59000000, 176387000, 5.4, 48, 0, 1
1993, 125, 26000000, 77324400, 7.7, 189857, 14, 21
1989, 113, 19000000, 58571500, 6.8, 31900, 0, 3
1954, 108, 910000, 9600000, 8.2, 110366, 21, 9
