@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1931, 90, 37000000, 20991500, 6.9, 7, 0, 0
1936, 56, 20000000, 13214000, 5.7, 41, 0, 0
1992, 100, 10000000, 50752300, 6.4, 47704, 0, 2
1971, 120, 7200000, 43800000, 6.7, 78830, 2, 3
1973, 75, 30000000, 30523600, 7.3, 116, 0, 0
1993, 125, 26000000, 77324400, 7.7, 189857, 14, 21
1898, 0, 95000000, 201148000, 7.9, 23, 0, 0
1993, 102, 6900000, 7993040, 7.7, 132389, 0, 2
1988, 104, 6000000, 12793200, 6.2, 19905, 1, 4
1979, 117, 11000000, 78900000, 8.5, 625277, 16, 19
1984, 105, 17000000, 76400000, 6.7, 62579, 1, 7
1908, 0, 90000000, 209019000, 6, 16, 0, 0
1910, 17, 13000000, 2104000, 5.7, 60, 0, 0
1989, 90, 10000000, 40485000, 6.9, 90104, 0, 3
1988, 104, 18000000, 114969000, 7.3, 163047, 11, 12
1925, 81, 2800000, 22202600, 5.2, 1198, 0, 0
1909, 0, 50000000, 1987290, 6.3, 29, 0, 0
1989, 87, 7400000, 3029870, 6, 61, 0, 1
1972, 98, 17000000, 6855140, 7.4, 24, 0, 0
1958, 120, 30000000, 12987600, 6.8, 1272, 0, 0
1929, 70, 40000000, 293502000, 7, 64, 0, 0
1992, 131, 14400000, 101157000, 8.2, 301366, 43, 37
1965, 123, 3800000, 14873, 6.8, 5715, 0, 0
1974, 91, 10000000, 18272400, 5.7, 1160, 0, 0
1973, 90, 45000000, 70001100, 5.5, 163, 0, 0
1991, 113, 30000000, 74889000, 7.2, 59086, 2, 5
1990, 129, 10000000, 16153600, 6.6, 8878, 1, 3
1993, 98, 3000000, 3902680, 5.3, 4221, 0, 2
1930, 70, 58000000, 48291600, 5.6, 34, 0, 0
1993, 99, 6000000, 3273590, 6.7, 4497, 0, 0
1992, 81, 7000, 2040920, 6.9, 54815, 7, 4
1946, 129, 8000000, 20400000, 6.9, 6663, 1, 1
1990, 107, 9500000, 58214, 7.5, 7620, 4, 2
